movieId,title,overview,genres,keywords,annee,voteAverage,voteCount,posterPath,director
862,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","Animation, Comedy, Family","jealousy, toy, boy, friendship, friends, rivalry, boy next door, new toy, toy comes to life",1995,7.7,5415.0,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,John Lasseter
8844,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","Adventure, Fantasy, Family","board game, disappearance, based on children's book, new home, recluse, giant insect",1995,6.9,2413.0,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,Joe Johnston
15602,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.","Romance, Comedy","fishing, best friend, duringcreditsstinger, old men",1995,6.5,92.0,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,Howard Deutch
31357,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.","Comedy, Drama, Romance","based on novel, interracial relationship, single mother, divorce, chick flick",1995,6.1,34.0,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,Forest Whitaker
11862,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",Comedy,"baby, midlife crisis, confidence, aging, daughter, mother daughter relationship, pregnancy, contraception, gynecologist",1995,5.7,173.0,/e64sOI48hQXyru7naBFyssKFxVd.jpg,Charles Shyer
949,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.","Action, Crime, Drama, Thriller","robbery, detective, bank, obsession, chase, shooting, thief, honor, murder, suspense, heist, betrayal, money, gang, cat and mouse, criminal mastermind, cult film, ex-con, heist movie, one last job, loner, bank job, neo-noir, gun fight, crime epic",1995,7.7,1886.0,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,Michael Mann
11860,Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.","Comedy, Romance","paris, brother brother relationship, chauffeur, long island, fusion, millionaire",1995,6.2,141.0,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,Sydney Pollack
45325,Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.","Action, Adventure, Drama, Family",,1995,5.4,45.0,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,Peter Hewitt
9091,Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...","Action, Adventure, Thriller","terrorist, hostage, explosive, vice president",1995,5.5,174.0,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,Peter Hyams
710,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,"Adventure, Action, Thriller","cuba, falsely accused, secret identity, computer virus, secret base, secret intelligence service, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg russia, ejection seat, red army",1995,6.6,1194.0,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,Martin Campbell
