movieId,title,overview,genres,keywords,releaseDate,voteAverage,voteCount,posterPath,director,runtime,cast
862,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","[16, 35, 10751]","jealousy, toy, boy, friendship, friends, rivalry, boy next door, new toy, toy comes to life",1995-10-30,7.7,5415.0,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,John Lasseter,81,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn"
8844,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","[12, 14, 10751]","board game, disappearance, based on children's book, new home, recluse, giant insect",1995-12-15,6.9,2413.0,/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,Joe Johnston,104,"Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce, Bonnie Hunt"
15602,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.","[10749, 35]","fishing, best friend, duringcreditsstinger, old men",1995-12-22,6.5,92.0,/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,Howard Deutch,101,"Walter Matthau, Jack Lemmon, Ann-Margret, Sophia Loren, Daryl Hannah"
31357,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.","[35, 18, 10749]","based on novel, interracial relationship, single mother, divorce, chick flick",1995-12-22,6.1,34.0,/8MprEuTY3EwkF9nBBPCUyjRjvs5.jpg,Forest Whitaker,127,"Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon, Gregory Hines"
11862,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",[35],"baby, midlife crisis, confidence, aging, daughter, mother daughter relationship, pregnancy, contraception, gynecologist",1995-02-10,5.7,173.0,/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,Charles Shyer,106,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley, George Newbern"
949,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.","[28, 80, 18, 53]","robbery, detective, bank, obsession, chase, shooting, thief, honor, murder, suspense, heist, betrayal, money, gang, cat and mouse, criminal mastermind, cult film, ex-con, heist movie, one last job, loner, bank job, neo-noir, gun fight, crime epic",1995-12-15,7.7,1886.0,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,Michael Mann,170,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore"
11860,Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.","[35, 10749]","paris, brother brother relationship, chauffeur, long island, fusion, millionaire",1995-12-15,6.2,141.0,/i8PbLJDPU7vCwwscWD625oHbJy.jpg,Sydney Pollack,127,"Harrison Ford, Julia Ormond, Greg Kinnear, Angie Dickinson, Nancy Marchand"
9091,Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...","[28, 12, 53]","terrorist, hostage, explosive, vice president",1995-12-22,5.5,174.0,/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,Peter Hyams,106,"Jean-Claude Van Damme, Powers Boothe, Dorian Harewood, Raymond J. Barry, Ross Malinger"
710,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,"[12, 28, 53]","cuba, falsely accused, secret identity, computer virus, secret base, secret intelligence service, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg russia, ejection seat, red army",1995-11-16,6.6,1194.0,/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,Martin Campbell,130,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker"
9087,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","[35, 18, 10749]","white house, usa president, new love, widower, wildlife conservation",1995-11-17,6.5,199.0,/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,Rob Reiner,106,"Michael Douglas, Annette Bening, Michael J. Fox, Martin Sheen, Anna Deavere Smith"
